analysis_id,source,source_type,analyst,source_date,population,archetype,archetype_label_in_source,outcome,outcome_definition,rate_pct_published,probability,archetype_n_inferred,event_count_inferred,note
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR1,Prime WR1s,returned_on_adp,"Met ADP value, defined as 17+ PPR points per game",53.52,0.5352,71,38,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR1,Prime WR1s,got_injured,Missed time due to injury,11.27,0.1127,71,8,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR1,Prime WR1s,boomed,"18+ PPR PPG, or beat ADP by 10 or more positional spots",33.8,0.338,71,24,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR1,Prime WR1s,busted,Lost 12 or more positional spots vs ADP,12.68,0.1268,71,9,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR1,Prime WR1s,fine,Lost 1-11 positional spots vs ADP,22.54,0.2254,71,16,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR2,Prime WR2s,returned_on_adp,"Met ADP value, defined as 17+ PPR points per game",37.9,0.379,29,11,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR2,Prime WR2s,got_injured,Missed time due to injury,13.8,0.138,29,4,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR2,Prime WR2s,boomed,"18+ PPR PPG, or beat ADP by 10 or more positional spots",31.0,0.31,29,9,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR2,Prime WR2s,busted,Lost 12 or more positional spots vs ADP,31.0,0.31,29,9,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Prime WR2,Prime WR2s,fine,Lost 1-11 positional spots vs ADP,17.2,0.172,29,5,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",ALL,Averages,returned_on_adp,"Met ADP value, defined as 17+ PPR points per game",39.44,0.3944,180,71,
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",ALL,Averages,got_injured,Missed time due to injury,16.67,0.1667,180,30,
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",ALL,Averages,boomed,"18+ PPR PPG, or beat ADP by 10 or more positional spots",23.33,0.2333,180,44,"Published average 23.33% does not reconcile with the four archetype columns, which pool to 24.44% (44 of 180). Use the per-archetype rates, not this average."
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",ALL,Averages,busted,Lost 12 or more positional spots vs ADP,20.56,0.2056,180,37,
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",ALL,Averages,fine,Lost 1-11 positional spots vs ADP,23.33,0.2333,180,42,
