analysis_id,source,source_type,analyst,source_date,adp_basis,season,threshold_basis,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,archetype,tier_color,tier_rank,injury_concern,resp_pass_attempts,color_pass_attempts,resp_passing_tds,color_passing_tds,resp_rush_attempts,color_rush_attempts,resp_rushing_tds,color_rushing_tds,resp_offensive_rank_in_ppg,color_offensive_rank_in_ppg,resp_offensive_line_rank_in_pass_blocking,color_offensive_line_rank_in_pass_blocking,resp_deep_ball_attempts_per_game,color_deep_ball_attempts_per_game,resp_rank_in_qbr,color_rank_in_qbr,resp_redzone_combined_attempts,color_redzone_combined_attempts,resp_rank_in_neutral_pace,color_rank_in_neutral_pace,resp_rank_in_pass_offense_dvoa,color_rank_in_pass_offense_dvoa,n_green,n_yellow,n_orange,n_red,n_cells_counted,n_green_published,n_yellow_published,n_orange_published,n_red_published,factor_score_recomputed,factor_score_published,factor_score_matches_published,note,factor_score_rank,adp_minus_score_rank
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,11,Patrick Mahomes,Patrick Mahomes,,NOT IN SOURCE - QB grid has no archetype row,green,2,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,Yes,yellow,?,orange,?,orange,Yes,yellow,?,orange,Yes,yellow,Yes,green,Yes,green,Yes,yellow,Yes,yellow,2,6,3,0,11,2,6,2,0,25,26,N,Published counts total 10 cells against 11 in the grid; one orange was omitted. Grid yields 3 orange and a score of 25.,11,0
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,12,Brock Purdy,Brock Purdy,,NOT IN SOURCE - QB grid has no archetype row,green,2,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,?,orange,?,orange,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,Yes,green,Yes,green,No,red,Yes,green,3,4,3,1,11,3,4,3,1,21,21,Y,,14,-2
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,13,Jaxson Dart,Jaxson Dart,,NOT IN SOURCE - QB grid has no archetype row,red,5,NOT IN SOURCE - QB grid has no injury row,?,orange,No,red,Yes,yellow,Yes,green,No,red,No,red,Yes,yellow,?,orange,Yes,yellow,No,red,No,red,1,3,2,5,11,1,3,2,5,-3,-3,Y,,24,-11
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,14,Matthew Stafford,Matthew Stafford,,NOT IN SOURCE - QB grid has no archetype row,purple,1,NOT IN SOURCE - QB grid has no injury row,Yes,green,Yes,green,No,red,No,red,Yes,green,Yes,yellow,Yes,green,Yes,green,Yes,green,Yes,green,Yes,green,8,1,0,2,11,8,1,0,2,37,37,Y,,6,8
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,15,Bo Nix,Bo Nix,,NOT IN SOURCE - QB grid has no archetype row,purple,1,NOT IN SOURCE - QB grid has no injury row,Yes,green,?,orange,Yes,yellow,Yes,yellow,Yes,green,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,green,5,5,1,0,11,5,5,1,0,39,39,Y,,4,11
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,16,Jared Goff,Jared Goff,,NOT IN SOURCE - QB grid has no archetype row,green,2,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,Yes,yellow,No,red,No,red,Yes,green,Yes,green,No,red,Yes,green,Yes,yellow,Yes,yellow,Yes,green,4,4,0,3,11,4,4,0,3,23,23,Y,,13,3
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,17,Kyler Murray,Kyler Murray,,NOT IN SOURCE - QB grid has no archetype row,yellow,3,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,No,red,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,?,orange,Yes,yellow,0,7,3,1,11,0,7,3,1,15,15,Y,,16,1
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,18,Jordan Love,Jordan Love,,NOT IN SOURCE - QB grid has no archetype row,gold,4,NOT IN SOURCE - QB grid has no injury row,No,red,?,orange,No,red,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,Yes,yellow,Yes,yellow,No,red,Yes,yellow,0,6,2,3,11,0,6,2,3,7,7,Y,,19,-1
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,19,Baker Mayfield,Baker Mayfield,,NOT IN SOURCE - QB grid has no archetype row,yellow,3,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,Yes,yellow,No,red,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,?,orange,Yes,yellow,0,8,2,1,11,0,8,2,1,19,19,Y,,15,4
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,20,Tyler Shough,Tyler Shough,,NOT IN SOURCE - QB grid has no archetype row,gold,4,NOT IN SOURCE - QB grid has no injury row,?,orange,No,red,Yes,yellow,Yes,yellow,?,orange,?,orange,Yes,yellow,Yes,yellow,No,red,Yes,green,?,orange,1,4,4,2,11,1,4,4,2,7,7,Y,,20,0
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,21,Malik Willis,Malik Willis,,NOT IN SOURCE - QB grid has no archetype row,red,5,NOT IN SOURCE - QB grid has no injury row,No,red,No,red,Yes,green,Yes,green,No,red,?,orange,No,red,?,orange,No,red,No,red,No,red,2,0,2,7,11,2,0,2,7,-13,-13,Y,,28,-7
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,22,Cam Ward,Cam Ward,,NOT IN SOURCE - QB grid has no archetype row,red,5,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,No,red,No,red,Yes,yellow,No,red,No,red,Yes,yellow,?,orange,No,red,Yes,yellow,?,orange,0,4,2,5,11,0,4,2,5,-5,-5,Y,,26,-4
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,23,Sam Darnold,Sam Darnold,,NOT IN SOURCE - QB grid has no archetype row,red,5,NOT IN SOURCE - QB grid has no injury row,No,red,?,orange,No,red,No,red,?,orange,Yes,yellow,?,orange,No,red,?,orange,No,red,?,orange,0,1,5,5,11,0,1,4,5,-17,-16,N,Published counts total 10 cells against 11 in the grid; one orange was omitted. Grid yields 5 orange and a score of -17.,30,-7
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,24,CJ Stroud,C.J. Stroud,,NOT IN SOURCE - QB grid has no archetype row,gold,4,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,No,red,No,red,No,red,Yes,yellow,No,red,Yes,yellow,Yes,yellow,No,red,No,red,Yes,yellow,0,5,0,6,11,0,5,0,5,-3,0,N,Published counts total 10 cells against 11 in the grid; one red was omitted. Grid yields 6 red and a score of -3.,25,-1
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,25,Daniel Jones,Daniel Jones,,NOT IN SOURCE - QB grid has no archetype row,yellow,3,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,No,red,?,orange,Yes,yellow,?,orange,Yes,green,No,red,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,1,5,3,2,11,1,5,3,2,11,11,Y,,17,8
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,26,Bryce Young,Bryce Young,,NOT IN SOURCE - QB grid has no archetype row,red,5,NOT IN SOURCE - QB grid has no injury row,No,red,No,red,No,red,Yes,yellow,?,orange,Yes,yellow,No,red,Yes,yellow,?,orange,No,red,No,red,0,3,2,6,11,0,2,2,6,-11,-14,N,Published counts total 10 cells against 11 in the grid; one yellow was omitted. Grid yields 3 yellow and a score of -11.,27,-1
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,27,Fernando Mendoza,Fernando Mendoza,,NOT IN SOURCE - QB grid has no archetype row,red,5,NOT IN SOURCE - QB grid has no injury row,No,red,No,red,?,orange,Yes,yellow,?,orange,?,orange,No,red,?,orange,No,red,No,red,No,red,0,1,4,6,11,0,1,4,6,-19,-19,Y,,31,-4
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,28,Aaron Rodgers,Aaron Rodgers,,NOT IN SOURCE - QB grid has no archetype row,gold,4,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,No,red,No,red,No,red,?,orange,?,orange,?,orange,Yes,yellow,Yes,yellow,Yes,green,Yes,yellow,1,4,3,3,11,1,4,3,3,5,5,Y,,21,7
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,29,Geno Smith,Geno Smith,,NOT IN SOURCE - QB grid has no archetype row,red,5,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,No,red,No,red,No,red,No,red,?,orange,?,orange,?,orange,No,red,No,red,No,red,0,1,3,7,11,0,1,3,7,-21,-21,Y,,32,-3
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,30,Jacoby Brissett,Jacoby Brissett,,NOT IN SOURCE - QB grid has no archetype row,gold,4,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,No,red,No,red,No,red,?,orange,Yes,yellow,No,red,No,red,Yes,yellow,Yes,yellow,Yes,yellow,0,5,1,5,11,0,5,1,5,-1,-1,Y,,23,7
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,31,Tua Tagovailoa,Tua Tagovailoa,,NOT IN SOURCE - QB grid has no archetype row,gold,4,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,No,red,No,red,No,red,?,orange,Yes,yellow,No,red,Yes,yellow,?,orange,Yes,yellow,Yes,yellow,0,5,2,4,11,0,5,2,4,1,1,Y,,22,9
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,32,Shedeur Sanders,Shedeur Sanders,,NOT IN SOURCE - QB grid has no archetype row,red,5,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,No,red,No,red,No,red,No,red,No,red,Yes,yellow,No,red,No,red,Yes,yellow,No,red,0,3,0,8,11,0,3,0,8,-15,-15,Y,,29,3
